Ship,Ship Price,Ship Image,Link to Ship
Hornet F7C– Package, $125.00,=IMAGE('https://robertsspaceindustries.com/media/3e0oc9s85451kr/source/F7c_hornet_front-Right_visual.jpg'),https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-Hornet
RSI Constellation Aquila– Standalone Ship, $310.00,=IMAGE('https://robertsspaceindustries.com/media/0xual3h0seftnr/source/Aquila_Front-Left.jpg'),https://robertsspaceindustries.com/pledge/ships/rsi-constellation/Constellation-Aquila
Mustang Alpha Starter Pack– Package, $45.00,=IMAGE('https://robertsspaceindustries.com/media/xxf6ibqkn5v4lr/source/Alpha-Cockpit.jpg'),https://robertsspaceindustries.com/pledge/ships/mustang/Mustang-Alpha
Avenger Stalker– Package, $75.00,=IMAGE('https://robertsspaceindustries.com/media/w9uhig7tnoi03r/source/Stalker_04-Squashed.jpg'),https://robertsspaceindustries.com/pledge/ships/aegis-avenger/Avenger-Stalker
Aurora ES– Standalone Ship, $20.00,=IMAGE('https://robertsspaceindustries.com/media/hw7vwxhbrqw2cr/source/Rsi_aurora_es_front-Right_visual.jpg'),https://robertsspaceindustries.com/pledge/ships/rsi-aurora/Aurora-ES
Aegis Gladius– Standalone Ship, $90.00,=IMAGE('https://robertsspaceindustries.com/media/hi0req44y3fptr/source/Gladius_Rear_Right_Final.jpg'),https://robertsspaceindustries.com/pledge/ships/gladius/Gladius
Mustang Beta– Standalone Ship, $40.00,=IMAGE('https://robertsspaceindustries.com/media/6ozhlxormcq2dr/source/Beta-Back.jpg'),https://robertsspaceindustries.com/pledge/ships/mustang/Mustang-Beta
Mustang Gamma– Standalone Ship, $55.00,=IMAGE('https://robertsspaceindustries.com/media/numok83kilmm1r/source/Gamma-Back.jpg'),https://robertsspaceindustries.com/pledge/ships/mustang/Mustang-Gamma
RSI Mantis– Standalone Ship, $150.00,=IMAGE('https://robertsspaceindustries.com/media/numok83kilmm1r/source/Gamma-Back.jpg'),https://robertsspaceindustries.com/pledge/ships/rsi-mantis/Mantis
Ballista– Standalone Ship, $140.00,=IMAGE('https://media.robertsspaceindustries.com/bt2x5wf5czxqq/source.jpg'),https://robertsspaceindustries.com/pledge/ships/anvil-ballista/Anvil-Ballista
